,TEP_mean_uV_C,TEP_error_uV_C,Absorption_avg_500,Absorption_std_500,backscatter_avg,backscatter_std,Absorption_avg_50,Absorption_std_50,A,A std,B,B std,p,p std,Absorption_avg_100,Absorption_std_100,Absorption_avg_200,Absorption_std_200,median_CF,mean_CF,std_CF,median_perm,mean_perm,std_perm,median_MBN,mean_MBN,std_MBN,median_CF_g,mean_CF_g,std_CF_g,median_perm_g,mean_perm_g,std_perm_g,median_pMBN_g,mean_pMBN_g,std_pMBN_g,TEP_mean_uV_C_LB,Absorption_avg_500_LB,Absorption_avg_50_LB,Absorption_avg_100_LB,backscatter_avg_LB,A_LB,B_LB,p_LB,Absorption_avg_200_LB,mean_CF_LB,mean_perm_LB,mean_MBN_LB,mean_CF_g_LB,mean_perm_g_LB,mean_pMBN_g_LB,TEP_mean_uV_C_UB,Absorption_avg_500_UB,Absorption_avg_50_UB,Absorption_avg_100_UB,backscatter_avg_UB,A_UB,B_UB,p_UB,Absorption_avg_200_UB,mean_CF_UB,mean_perm_UB,mean_MBN_UB,mean_CF_g_UB,mean_perm_g_UB,mean_pMBN_g_UB,AUC_avg,AUC_LB,AUC_UB,AUC_std,CF_perm,CF_perm_std
T_B1,12.947950786534287,0.07311168428766647,0.0002335,1.804e-05,0.0175,0.0042,0.0012640000000000001,0.0005194,4.41e-13,4.09e-07,0.000875,0.000218,0.219,0.0247,0.0006816,0.0001927,0.0003725,9.437e-05,1.1,1.1006363636363636,0.01341844050009338,68.5,68.3,1.115347479487895,0.473,0.483909090909091,0.1272819347318814,,,,,,,,,,12.87483910224662,0.00021546,0.0007446000000000001,0.0004889,0.013300000000000003,-4.08999559e-07,0.000657,0.1943,0.00027813,1.0872179231362702,67.1846525205121,0.35662715617720964,,,,13.021062470821954,0.00025154,0.0017834,0.0008743,0.0217,4.0900044100000003e-07,0.001093,0.2437,0.00046687,1.114054804136457,69.41534747948789,0.6111910256409724,,,,6.022333784993538,4.521097776460206,7.523569793526871,1.5012360085333327,0.016114734460268867,0.012030726519644241
T_B2,12.920067913159315,0.07781396883657651,0.0005706,0.00013852,0.024,0.0057,0.002486,0.0008156000000000001,1.52e-06,1.51e-06,0.00201,0.000802,0.273,0.0908,0.0010693,0.0003645,0.0008744,0.00023438,1.1095000000000002,1.1078181818181818,0.015721438749797558,66.45,66.33636363636363,0.8902502201883752,0.6305000000000001,0.6024545454545455,0.1104430746007767,,,,,,,,,,12.842253944322739,0.00043208,0.0016703999999999998,0.0007048,0.0183,1.0000000000000116e-08,0.001208,0.18220000000000003,0.00064002,1.0920967430683843,65.44611341617525,0.4920114708537688,,,,12.997881881995891,0.0007091199999999999,0.0033016,0.0014338,0.0297,3.03e-06,0.0028120000000000003,0.3638,0.00110878,1.1235396205679793,67.226613856552,0.7128976200553222,,,,12.169862656000001,6.6424710613333335,17.697254250666667,5.527391594666667,0.016700013704262027,0.017659572997882476
T_B3,12.93286533920109,0.08876209804061627,0.0002435,2.995e-05,0.0134,0.0028,0.001168,0.0005554,4.270000000000001e-13,5.64e-07,0.000799,0.0003,0.218,0.034,0.0006581,0.0002457,0.00034940000000000004,7.753e-05,1.0795,1.079909090909091,0.01648911486681164,68.4,68.39090909090909,0.7700059031650931,0.5765,0.5923636363636363,0.17815682570548494,,,,,,,,,,12.844103241160473,0.00021355000000000001,0.0006126,0.0004124,0.0106,-5.639995730000001e-07,0.0004990000000000001,0.184,0.00027187,1.0634199760422793,67.62090318774399,0.41420681065815135,,,,13.021627437241706,0.00027345,0.0017234,0.0009038,0.0162,5.64000427e-07,0.001099,0.252,0.00042693000000000006,1.0963982057759025,69.16091499407419,0.7705204620691213,,,,5.751555103988452,3.6843216447884526,7.818788563188453,2.0672334592,0.015790243254021,0.02141427072056653
T_B4,10.763517094529838,0.07117305455037064,0.0003787,9.973e-05,0.0146,0.0031,0.002084,0.000648,7.58e-07,1e-06,0.00121,0.000535,0.299,0.0605,0.0009208,0.0002231,0.0007006,0.0001357,4.513999999999999,4.5089999999999995,0.032860310406324436,32.9,32.90909090909091,0.4346367344220817,0.5005000000000001,0.5131818181818182,0.05254677569902491,,,,,,,,,,10.692344039979467,0.00027897,0.0014359999999999998,0.0006977000000000001,0.0115,-2.4199999999999997e-07,0.0006749999999999999,0.2385,0.0005649,4.476139689593675,32.47445417466882,0.4606350424827933,,,,10.83469014908021,0.00047842999999999996,0.002732,0.0011439,0.0177,1.758e-06,0.001745,0.3595,0.0008363,4.5418603104063235,33.34372764351299,0.5657285938808431,,,,9.050509649066667,5.3717501824,12.729269115733333,3.6787594666666665,0.13701381215469613,0.07560407992209267
T_B5,12.942958117358149,0.07480762206392534,0.0002299,3.349e-05,0.0182,0.004,0.001141,0.0004475,3.97e-13,4.67e-07,0.0008900000000000002,0.00024900000000000004,0.245,0.0282,0.0005708999999999999,0.0001134,0.00039739999999999996,8.808e-05,1.429,1.4326363636363637,0.017591320173726194,64.95,65.2,1.1738824472663352,0.5379999999999999,0.5349090909090909,0.04265549096061266,,,,,,,,,,12.868150495294223,0.00019641,0.0006935000000000001,0.00045749999999999995,0.0142,-4.66999603e-07,0.0006410000000000001,0.2168,0.00030931999999999997,1.4150450434626376,64.02611755273367,0.4922535999484782,,,,13.017765739422074,0.00026339,0.0015885,0.0006843,0.0222,4.67000397e-07,0.0011390000000000003,0.2732,0.00048547999999999994,1.4502276838100898,66.37388244726634,0.5775645818697035,,,,6.4370137399299345,4.722637042329936,8.151390437529937,1.7143766976000006,0.021972950362520914,0.014985589242510417
T_B6,11.037827119900609,0.09063579814853044,0.00024,2.59e-05,0.0148,0.0031,0.0013230000000000002,0.0005744,1.35e-12,3.5e-07,0.000541,0.000187,0.209,0.0211,0.0008179999999999999,0.0003448,0.0004008,0.00010974,4.672,4.704636363636364,0.06888725967444596,34.05,33.93636363636364,0.8812181651245373,0.301,0.30663636363636365,0.030725470630318188,,,,,,,,,,10.947191321752078,0.0002141,0.0007486000000000002,0.00047319999999999996,0.0117,-3.4999865e-07,0.00035400000000000004,0.18789999999999998,0.00029106,4.635749103961919,33.0551454712391,0.2759108930060455,,,,11.12846291804914,0.0002659,0.0018974,0.0011627999999999999,0.0179,3.5000134999999996e-07,0.000728,0.2301,0.00051054,4.77352362331081,34.817581801488174,0.3373618342666818,,,,4.753860049299947,3.4681889026332797,6.039531195966614,1.285671146666667,0.13863112777926603,0.07817276402230149
T_B7,12.882150025040646,0.09906588175280766,0.0004056,8.392999999999999e-05,0.03,0.0087,0.001908,0.0009261,4.820000000000001e-13,1.25e-06,0.00244,0.000665,0.495,0.0752,0.0010136000000000001,0.0003346,0.0005251,7.959e-05,0.6579999999999999,0.678818181818182,0.05946060575173818,103.55,100.08181818181819,6.020102687133861,0.6074999999999999,0.6064545454545454,0.05256874287323912,,,,,,,,,,12.783084143287839,0.00032167000000000003,0.0009819,0.0006790000000000001,0.0213,-1.249999518e-06,0.0017749999999999999,0.4198,0.00044551000000000004,0.6193575760664438,94.06171549468434,0.5538858025813063,,,,12.981215906793453,0.00048953,0.0028341,0.0013482000000000001,0.0387,1.2500004820000002e-06,0.003105,0.5702,0.0006046900000000001,0.7382787875699202,106.10192086895205,0.6590232883277845,,,,15.173947160317958,10.594117826984622,19.753776493651294,4.579829333333336,0.006782632391679536,0.009877008556484781
T_B8,12.257787611009974,0.08091971063027903,0.0003193,7.637e-05,0.0269,0.0062,0.000933,0.0003036,4.42e-12,4.41e-07,0.000972,0.000235,0.247,0.0266,0.0006166,0.0001743,0.000416,9.148e-05,2.04,2.101454545454545,0.3720006353855767,57.8,57.12727272727273,3.940835167598592,0.3745000000000001,0.4133636363636363,0.22369813263738828,,,,,,,,,,12.176867900379694,0.00024293,0.0006294,0.0004423,0.0207,-4.4099558e-07,0.000737,0.22039999999999998,0.00032451999999999996,1.7294539100689683,53.18643755967414,0.18966550372624805,,,,12.338707321640253,0.00039567,0.0012366,0.0007909,0.0331,4.4100442e-07,0.001207,0.2736,0.0005074799999999999,2.473455180840122,61.068107894871325,0.6370617690010246,,,,6.7420685268437754,5.124021655377109,8.360115398310441,1.618046871466666,0.03678548695098662,0.09439639557730119
T_AR,12.947030549821134,0.0897865940408384,0.0002833,2.266e-05,0.0179,0.0038,0.001257,0.0002097,4.4299999999999993e-13,5.06e-07,0.000851,0.00027,0.203,0.0305,0.0009824,0.00032539999999999994,0.0004882,8.135e-05,1.2355,1.2363636363636363,0.02804023083811092,61.85,61.98181818181819,0.4354725750680107,0.594,0.5946363636363636,0.08216480113439417,,,,,,,,,,12.857243955780296,0.00026064,0.0010473000000000001,0.000657,0.0141,-5.05999557e-07,0.0005809999999999999,0.17250000000000001,0.00040685,1.2083234055255254,61.54634560675018,0.5124715625019695,,,,13.036817143861972,0.00030596,0.0014667,0.0013078,0.0217,5.06000443e-07,0.001121,0.2335,0.00056955,1.2644038672017472,62.4172907568862,0.6768011647707578,,,,5.717245787041883,3.8597743502418838,7.574717223841884,1.8574714368000003,0.019947198591962447,0.0643903484248846
T_N,10.805126285744514,0.07684209530164532,0.0004431,7.462e-05,0.0253,0.0054,0.003128,0.0011470999999999999,1.44e-07,1.73e-06,0.00148,0.000921,0.28800000000000003,0.104,0.0009585,0.00017529999999999998,0.0006567,6.239e-05,4.496,4.503363636363637,0.032598382558871694,33.4,33.290909090909096,0.2913916452287049,0.5914999999999999,0.5880000000000001,0.07006140164170281,,,,,,,,,,10.728284190442869,0.00036847999999999997,0.0019809000000000003,0.0007832000000000001,0.0199,-1.586e-06,0.0005589999999999999,0.18400000000000005,0.00059431,4.470765253804765,32.99951744568039,0.5179385983582973,,,,10.881968381046159,0.0005177199999999999,0.0042751,0.0011338,0.030699999999999998,1.874e-06,0.002401,0.392,0.0007190899999999999,4.5359620189225085,33.5823007361378,0.6580614016417029,,,,9.179907549866668,2.8403366058666664,15.51947849386667,6.339570944000002,0.13527307482250137,0.11187137000199907
