ID,Type,Percent_cold_work,JQ_lb-in_in2,KJIC_ksi_x_in1_2,KIC_stress_intensity_max_ksi_x_in1_2,KIC_stress_intensity_range_ksi_x_in1_2
304-0-1,304,0,730,147.2,,
304-0-2,304,0,795.4,153.6,,
304-0-3,304,0,745,148.7,,
304-0-4,304,0,1107,181.2,,
304-0-5,304,0,1083.8,179.3,,
304-20-1,304,20,397.8,108.6,,
304-20-2,304,20,410.1,110.3,,
304-20-3,304,20,380.8,106.3,,
304-20-4,304,20,352.6,102.3,,
304-20-5,304,20,346.5,101.4,,
304-40-1,304,40,365.8,104.2,,
304-40-2,304,40,275.1,90.3,,
304-40-3,304,40,316.6,96.9,,
304-40-4,304,40,404.7,109.6,,
304-40-5,304,40,354,102.5,,
304-60-1,304,60,289.3,92.6,,
304-60-2,304,60,323.2,97.9,,
304-60-3,304,60,216.1,80.1,,
304-60-4,304,60,341.3,100.6,,
304-60-5,304,60,245.7,85.4,,
304-80-1,304,80,57.2,41.2,,
304-80-2,304,80,,,9.3,8.4
304-80-3,304,80,233.1,80.2,,
304-80-4,304,80,268.1,89.2,,
304-80-5,304,80,240.5,84.5,,
316-0-1,316,0,362,102.7,,
316-0-2,316,0,444.9,113.8,,
316-0-3,316,0,649.9,137.6,,
316-0-4,316,0,416.1,110.1,,
316-0-5,316,0,290.8,92,,
316-20-1,316,20,187,73.8,,
316-20-2,316,20,146.2,65.2,,
316-20-3,316,20,193,75,,
316-20-4,316,20,149.3,65.9,,
316-20-5,316,20,167.8,69.9,,
316-40-1,316,40,153.2,66.6,,
316-40-2,316,40,145.6,65.1,,
316-40-3,316,40,161.1,68.5,,
316-40-4,316,40,162.3,68.7,,
316-40-5,316,40,179.2,72.2,,
316-60-1,316,60,193.5,75.1,,
316-60-2,316,60,143.9,64.7,,
316-60-3,316,60,159.7,68.2,,
316-60-4,316,60,194,75.2,,
316-60-5,316,60,131.3,61.8,,
316-80-1,316,80,151.9,66.5,,
316-80-2,316,80,119,58.9,,
316-80-3,316,80,115.2,57.9,,
316-80-4,316,80,104.9,55.3,,
316-80-5,316,80,117.1,58.4,,
347-0-1,347,0,948.8,172.4,,
347-0-2,347,0,1372.9,207.4,,
347-0-3,347,0,1036.6,180.2,,
347-0-4,347,0,1483.7,215.6,,
347-0-5,347,0,1501.6,216.9,,
347-20-1,347,20,507.5,126.1,,
347-20-2,347,20,529.3,128.8,,
347-20-3,347,20,417.4,114.3,,
347-20-4,347,20,499.7,125.1,,
347-20-5,347,20,506.9,126,,
347-40-1,347,40,301.4,97.2,,
347-40-2,347,40,289,95.1,,
347-40-3,347,40,289.7,95.3,,
347-40-4,347,40,286.7,94.8,,
347-40-5,347,40,143.5,67,,
347-60-1,347,60,243.6,87.4,,
347-60-2,347,60,234,85.6,,
347-60-3,347,60,162.5,71.3,,
347-60-4,347,60,181.8,75.5,,
347-60-5,347,60,153,69.2,,
347-80-1,347,80,177.4,74.5,,
347-80-2,347,80,157.9,70.3,,
347-80-3,347,80,187.3,76.6,,
347-80-4,347,80,192,77.5,,
347-80-5,347,80,161.4,71.1,,
A286-0-1,A286,0,1055.4,185,,
A286-0-2,A286,0,1091.3,188.1,,
A286-0-3,A286,0,1154.5,193.5,,
A286-0-4,A286,0,1016.2,181.5,,
A286-0-5,A286,0,,,,
A286-20-1,A286,20,167.9,73.8,,
A286-20-2,A286,20,,,13.2,12
A286-20-3,A286,20,151.4,70.1,,
A286-20-4,A286,20,,,13.6,12.2
A286-20-5,A286,20,,,11.3,10.1
A286-40-1,A286,40,,,13.2,11.9
A286-40-2,A286,40,,,11.1,10
A286-40-3,A286,40,,,13.3,12
A286-40-4,A286,40,,,13.3,12
A286-40-5,A286,40,,,13.1,11.8
A286-60-1,A286,60,,,11.1,10
A286-60-2,A286,60,,,10.9,9.8
A286-60-3,A286,60,68.9,47.3,,
A286-60-4,A286,60,67.7,46.9,,
A286-60-5,A286,60,69,47.3,,
A286-80-1,A286,80,80.1,51,,
A286-80-2,A286,80,78.5,50.5,,
A286-80-3,A286,80,87,53.1,,
A286-80-4,A286,80,84.7,52.4,,
A286-80-5,A286,80,77.1,50,,
