ID,KJIC,MS_Avg,MS_neg_error,MS_pos_error,TEP_average,TEP_error,Beta_avg,PC_IF_2.25MHz,SE_IF_2.25MHz,SE_%_IF_2.25MHz,PC_IF_3.5MHz,SE_IF_3.5MHz,SE_%_IF_3.5MHz,PC_BS
304-0-1,147.2,,,,,,0.0027430063333333337,0.0,0.013,2.9,0.0,0.005,1.3,0.0
304-0-2,153.6,0.12,0.035,0.086,-1.547,0.049,,,,,,,,
304-0-3,148.7,,,,,,,,,,,,,
304-0-4,181.2,,,,,,,,,,,,,
304-0-5,179.3,,,,,,,,,,,,,
304-20-1,108.6,,,,,,0.0020932913333333333,50.0,0.014,2.0,59.0,0.006,1.1,-12.0
304-20-2,110.3,0.496,0.177,0.239,-1.3219999999999998,0.063,,,,,,,,
304-20-3,106.3,,,,,,,,,,,,,
304-20-4,102.3,,,,,,,,,,,,,
304-20-5,101.4,,,,,,,,,,,,,
304-40-1,104.2,,,,,,0.0019410073333333336,57.0,0.022,3.0,79.0,0.012,1.9,-20.0
304-40-2,90.3,1.35,0.377,0.377,-1.216,0.053,,,,,,,,
304-40-3,96.9,,,,,,,,,,,,,
304-40-4,109.6,,,,,,,,,,,,,
304-40-5,102.5,,,,,,,,,,,,,
304-60-1,92.6,,,,,,0.0025671406666666666,98.0,0.01,1.1,139.0,0.015,1.7,3.0
304-60-2,97.9,1.371,0.531,0.909,-1.249,0.052000000000000005,,,,,,,,
304-60-3,80.1,,,,,,,,,,,,,
304-60-4,100.6,,,,,,,,,,,,,
304-60-5,85.4,,,,,,,,,,,,,
304-80-1,41.2,,,,,,0.002667983,94.0,0.024,2.7,149.0,0.021,2.4,10.0
304-80-2,,3.4610000000000003,0.971,2.4019999999999997,-1.004,0.054000000000000006,,,,,,,,
304-80-3,80.2,4.026,1.607,2.988,-1.023,0.069,0.002523545,,,,,,,
304-80-4,89.2,4.311,1.371,1.915,-0.93,0.063,0.0023691046666666667,,,,,,,
304-80-5,84.5,4.066,1.449,2.6010000000000004,-0.9470000000000001,0.071,0.0021197256666666666,,,,,,,
316-0-1,102.7,,,,,,0.0025535429999999997,0.0,0.021,4.6,0.0,0.01,2.4,0.0
316-0-2,113.8,0.039,0.013999999999999999,0.017,-1.506,0.046,0.002584252,,,,,,,
316-0-3,137.6,,,,,,0.002227559,,,,,,,
316-0-4,110.1,,,,,,0.002364567,,,,,,,
316-0-5,92.0,,,,,,0.002437008,,,,,,,
316-20-1,73.8,,,,,,0.0027854706666666667,42.0,0.032,5.0,37.0,0.004,0.7,30.0
316-20-2,65.2,0.036000000000000004,0.01,0.016,-1.5730000000000002,0.045,,,,,,,,
316-20-3,75.0,,,,,,,,,,,,,
316-20-4,65.9,,,,,,,,,,,,,
316-20-5,69.9,,,,,,,,,,,,,
316-40-1,66.6,,,,,,0.002494488,70.0,0.006999999999999999,1.0,60.0,0.005,0.8,-34.0
316-40-2,65.1,0.044000000000000004,0.016,0.017,-1.64,0.044000000000000004,,,,,,,,
316-40-3,68.5,,,,,,,,,,,,,
316-40-4,68.7,,,,,,,,,,,,,
316-40-5,72.2,,,,,,,,,,,,,
316-60-1,75.1,,,,,,0.002271839666666666,117.0,0.017,1.8,200.0,0.013,1.0,-57.0
316-60-2,64.7,0.048,0.016,0.044000000000000004,-1.665,0.044000000000000004,,,,,,,,
316-60-3,68.2,0.047,0.013999999999999999,0.025,-1.676,0.046,0.0025710533333333334,,,,,,,
316-60-4,75.2,0.062,0.022000000000000002,0.033,-1.6669999999999998,0.045,0.0021913,,,,,,,
316-60-5,61.8,0.04,0.013999999999999999,0.028999999999999998,-1.6869999999999998,0.045,0.002134706666666667,,,,,,,
316-80-1,66.5,,,,,,0.0025529100000000002,113.0,0.024,2.5,131.0,0.063,6.6,-69.0
316-80-2,58.9,0.247,0.106,0.19899999999999998,-1.645,0.045,,,,,,,,
316-80-3,57.9,,,,,,,,,,,,,
316-80-4,55.3,,,,,,,,,,,,,
316-80-5,58.4,,,,,,,,,,,,,
347-0-1,172.4,,,,,,0.002710236333333333,0.0,0.012,4.6,0.0,0.002,1.0,0.0
347-0-2,207.4,0.022000000000000002,0.005,0.011000000000000001,-1.4369999999999998,0.05,,,,,,,,
347-0-3,180.2,,,,,,,,,,,,,
347-0-4,215.6,,,,,,,,,,,,,
347-0-5,216.9,,,,,,,,,,,,,
347-20-1,126.1,0.34,0.08800000000000001,0.332,-1.364,0.053,0.0017698163333333336,195.0,0.022,2.7,202.0,0.06,9.5,-25.0
347-20-2,128.8,,,,,,,,,,,,,
347-20-3,114.3,,,,,,,,,,,,,
347-20-4,125.1,,,,,,,,,,,,,
347-20-5,126.0,,,,,,,,,,,,,
347-40-1,97.2,,,,,,0.0021727033333333334,182.0,0.006,0.8,241.0,0.017,2.3,-28.0
347-40-2,95.1,1.014,0.285,0.754,-1.286,0.057999999999999996,,,,,,,,
347-40-3,95.3,1.109,0.28,0.67,-1.274,0.054000000000000006,0.002259842333333333,,,,,,,
347-40-4,94.8,0.892,0.273,0.598,-1.288,0.055,0.0023105526666666668,,,,,,,
347-40-5,67.0,1.031,0.318,0.6679999999999999,-1.2690000000000001,0.061,0.0022043350000000004,,,,,,,
347-60-1,87.4,,,,,,0.002428836,206.0,0.03,3.7,287.0,0.015,1.8,-33.0
347-60-2,85.6,3.139,1.252,2.623,-1.1,0.057999999999999996,,,,,,,,
347-60-3,71.3,,,,,,,,,,,,,
347-60-4,75.5,,,,,,,,,,,,,
347-60-5,69.2,,,,,,,,,,,,,
347-80-1,74.5,,,,,,0.002559259333333333,206.0,0.018000000000000002,2.2,255.0,0.008,1.0,-39.0
347-80-2,70.3,6.391,2.338,2.815,-0.8220000000000001,0.069,,,,,,,,
347-80-3,76.6,,,,,,,,,,,,,
347-80-4,77.5,,,,,,,,,,,,,
347-80-5,71.1,,,,,,,,,,,,,
A286-0-1,185.0,,,,,,0.0022739693333333334,0.0,0.01,4.6,0.0,0.003,1.7,0.0
A286-0-2,188.1,0.01,0.002,0.002,-1.328,0.045,,,,,,,,
A286-0-3,193.5,,,,,,,,,,,,,
A286-0-4,181.5,,,,,,,,,,,,,
A286-0-5,,,,,,,,,,,,,,
A286-20-1,73.8,,,,,,0.00218990875,601.0,0.023,1.6,1136.0,0.011,0.5,-18.0
A286-20-2,,0.01,0.002,0.002,-1.253,0.045,,,,,,,,
A286-20-3,70.1,0.009000000000000001,0.002,0.002,-1.25,0.046,0.0021451573333333336,,,,,,,
A286-20-4,,0.009000000000000001,0.002,0.002,-1.238,0.045,0.0019769573333333333,,,,,,,
A286-20-5,,0.009000000000000001,0.002,0.002,-1.239,0.045,0.0019681160000000002,,,,,,,
A286-40-1,,,,,,,0.00233985,523.0,0.023,1.8,817.0,0.015,1.0,-46.0
A286-40-2,,0.009000000000000001,0.002,0.002,-1.2890000000000001,0.045,,,,,,,,
A286-40-3,,,,,,,,,,,,,,
A286-40-4,,,,,,,,,,,,,,
A286-40-5,,,,,,,,,,,,,,
A286-60-1,,,,,,,0.0023631999999999998,530.0,0.013,1.0,880.0,0.016,0.9,-40.0
A286-60-2,,0.01,0.002,0.002,-1.371,0.047,,,,,,,,
A286-60-3,47.3,,,,,,,,,,,,,
A286-60-4,46.9,,,,,,,,,,,,,
A286-60-5,47.3,,,,,,,,,,,,,
A286-80-1,51.0,,,,,,0.002186677,501.0,0.025,2.0,759.0,0.022,1.5,-64.0
A286-80-2,50.5,0.01,0.002,0.002,-1.466,0.047,,,,,,,,
A286-80-3,53.1,,,,,,,,,,,,,
A286-80-4,52.4,,,,,,,,,,,,,
A286-80-5,50.0,,,,,,,,,,,,,
