,ID,ACEE_30_Avg_58,ACEE_500_Avg_58,ACPD_Avg_58
0,41C,-0.13763999999999987,-2.86603,4.804749137240915
1,43C,-0.46204,-2.254125,3.869428125087372
2,44C,-0.5963850000000002,-2.7884999999999995,3.370729062439798
3,45C,-0.64571,-3.20222,4.186638582599779
4,7C,-1.13596,-1.7181149999999996,3.4384512094770763
5,13C,-0.6608750000000001,-2.167395,3.7255141315537226
6,8C,-0.9518399999999998,-1.502545,3.529319186118503
7,35C,-0.8674300000000001,-1.3500650000000003,3.0506498786417606
8,24C,-0.8167549999999999,-1.836935,4.259981695050666
9,34C,-1.01434,-1.5217549999999997,3.5799597291536367
10,9C,-0.917735,-1.6757600000000001,3.958265668225452
11,10C,-0.79764,-1.795,2.5796375540800467
12,19C,-1.065155,-1.57074,3.2269569882483964
13,30C,-0.9681299999999999,-1.24822,3.3052794650102224
14,32C,-0.6171900000000002,-1.3124149999999997,2.9079217386689056
15,46C,-1.06423,-1.1761,3.526969472220591
16,23C,-0.83111,-1.19454,3.061742719962202
17,25C,-0.9120650000000001,-0.927155,3.284086637944961
18,21C,-0.8848999999999999,-1.578795,2.7648617369244146
19,47C,-1.1313299999999997,-1.605635,3.701526010404651
20,26C,-0.6878,-1.269005,3.820881072383677
21,27C,-1.276355,-1.60215,2.7466341761083175
22,28C,-0.8627199999999999,-1.280955,2.8396265734039816
23,48C,-0.9269149999999999,-1.7042599999999999,4.225329417566708
24,37C,-0.8630800000000001,-1.69359,2.3751927531471275
25,39C,-1.1929150000000002,-1.1269099999999999,3.1864471864163124
26,42C,-0.9268400000000001,-1.24377,4.044555371045278
27,49C,-0.6662750000000001,-1.364115,3.611348065901094
28,20C,-1.2239600000000002,-1.2239600000000002,2.646820422728163
29,14C,-0.8282500000000002,-0.8282500000000002,3.2913918200198395
30,38C,-1.022275,-1.432265,3.5416462660194634
31,16C,-1.10897,-1.8085499999999999,2.4461516030866424
32,6C,-0.9856399999999997,-1.9006,43.59559268171519
33,36C,-0.6901466666666667,-0.39014666666666664,-2.537056236103
34,29C,-0.9481850000000001,-1.3313899999999999,6.282384583575089
35,31C,-1.18608,-1.18608,3.329151852781623
