location,measure,peak,peak_ref,fwhm,fwhm_ref,diff_two_peaks,diff_two_peaks_ref,amp,amp_ref,pos,pos_ref,energy,energy_ref,Sample
1,1,0.267419897032763,0.16448163144403,0.0336341304362762,0.0198575034192529,0.0357579692443432,0.0257775401892254,0.0158375468115803,0.0137426157878976,7686,7624,408.764909260931,273.907729036425,41C
1,2,0.220200161181682,0.16448163144403,0.0294946905398367,0.0198575034192529,0.0522882460356147,0.0257775401892254,0.0178086723254909,0.0137426157878976,7642,7624,407.653683821905,273.907729036425,41C
1,3,0.222581417940962,0.16448163144403,0.0285612819709085,0.0198575034192529,0.0483467332882337,0.0257775401892254,0.0144335942959735,0.0137426157878976,7638.0,7624,395.134422175616,273.907729036425,41C
2,1,0.269990190581245,0.16448163144403,0.0340589545518285,0.0198575034192529,0.0506244180554253,0.0257775401892254,0.0189870406201301,0.0137426157878976,7677,7624,390.80093528191,273.907729036425,41C
2,2,0.246733332377266,0.16448163144403,0.0330523983678952,0.0198575034192529,0.0605813903870764,0.0257775401892254,0.0201275702820897,0.0137426157878976,7642,7624,415.882397578167,273.907729036425,41C
2,3,0.230279697500859,0.16448163144403,0.0287984858117224,0.0198575034192529,0.0500751962559334,0.0257775401892254,0.0146865939733031,0.0137426157878976,7634.0,7624,377.429550848632,273.907729036425,41C
3,1,0.274751774534584,0.16448163144403,0.0350505426476437,0.0198575034192529,0.0475567194164344,0.0257775401892254,0.0169922207715633,0.0137426157878976,7667,7624,398.15340228728,273.907729036425,41C
3,2,0.282313475335969,0.16448163144403,0.0341359240577605,0.0198575034192529,0.0440244154337236,0.0257775401892254,0.0191665399745976,0.0137426157878976,7640,7624,417.657149083003,273.907729036425,41C
3,3,0.296353290694071,0.16448163144403,0.0304827283214485,0.0198575034192529,0.0455593278947508,0.0257775401892254,0.0140499946677959,0.0137426157878976,7636.0,7624,421.26947287184,273.907729036425,41C
4,1,0.286965789823196,0.16448163144403,0.0329960878331368,0.0198575034192529,0.0622402854864587,0.0257775401892254,0.0194206825783424,0.0137426157878976,7658,7624,424.431067928206,273.907729036425,41C
4,2,0.28088538228077,0.16448163144403,0.0352340455732007,0.0198575034192529,0.0541793162153654,0.0257775401892254,0.0159731762023066,0.0137426157878976,7639,7624,423.383795807261,273.907729036425,41C
4,3,0.39910884986862,0.16448163144403,0.0406574925998819,0.0198575034192529,0.0537326389668552,0.0257775401892254,0.00945958893985794,0.0137426157878976,7635.0,7624,446.981895981144,273.907729036425,41C
5,1,0.274859006482155,0.16448163144403,0.0323556748872228,0.0198575034192529,0.0597795049491148,0.0257775401892254,0.0175366817060417,0.0137426157878976,7654,7624,427.17591533679,273.907729036425,41C
5,2,0.273629085333695,0.16448163144403,0.0325639553767953,0.0198575034192529,0.0574075761473319,0.0257775401892254,0.0122612666950404,0.0137426157878976,7638,7624,447.27873427962,273.907729036425,41C
5,3,0.275454251484638,0.16448163144403,0.0347156311138356,0.0198575034192529,0.0639914506111044,0.0257775401892254,0.0129545075806031,0.0137426157878976,7633.0,7624,474.140329672602,273.907729036425,41C
6,1,0.242933529242844,0.16448163144403,0.0344432096137597,0.0198575034192529,0.0614418055578284,0.0257775401892254,0.0218167703900239,0.0137426157878976,7650,7624,454.295716732902,273.907729036425,41C
6,2,0.389062414696311,0.16448163144403,0.0347652798531726,0.0198575034192529,0.0635307265856299,0.0257775401892254,0.0196418639494648,0.0137426157878976,7638,7624,465.851990585649,273.907729036425,41C
6,3,0.268415498619115,0.16448163144403,0.0371955454725931,0.0198575034192529,0.065533272853052,0.0257775401892254,0.012033956805257,0.0137426157878976,7635.0,7624,492.345614708111,273.907729036425,41C
1,1,0.266063773172348,0.179159415760061,0.0374250405886401,0.0270002688170579,0.0718790189874949,0.03906492,0.0218516105103347,0.019869327749401,7635,7608,435.909634973481,343.548745242166,43C
1,2,0.278859859430301,0.179159415760061,0.0288730456927528,0.0270002688170579,0.0474018353163961,0.03906492,0.0188789331448607,0.019869327749401,7655,7608,413.644424035423,343.548745242166,43C
1,3,0.238240192772704,0.179159415760061,0.0371842761850186,0.0270002688170579,0.0486926061292567,0.03906492,0.0173724346560317,0.019869327749401,7652.0,7608,417.966190420163,343.548745242166,43C
2,1,0.190517200297264,0.179159415760061,0.0319853824462215,0.0270002688170579,0.0232424333800758,0.03906492,0.0199349559680615,0.019869327749401,7642,7608,420.234780075346,343.548745242166,43C
2,2,0.220167831179862,0.179159415760061,0.0286830587879972,0.0270002688170579,0.0503213640229826,0.03906492,0.0194065001966389,0.019869327749401,7657,7608,436.975331631709,343.548745242166,43C
2,3,0.29237951328508,0.179159415760061,0.0336660571960667,0.0270002688170579,0.0656193840799676,0.03906492,0.0182787018455502,0.019869327749401,7654.0,7608,430.685364081956,343.548745242166,43C
3,1,0.256105739631867,0.179159415760061,0.0360718101622214,0.0270002688170579,0.0444579495850088,0.03906492,0.0210950988564672,0.019869327749401,7646,7608,450.134208645166,343.548745242166,43C
3,2,0.278994799132534,0.179159415760061,0.0380797779212872,0.0270002688170579,0.0484954207968613,0.03906492,0.019260659792166,0.019869327749401,7657,7608,423.268312622114,343.548745242166,43C
3,3,0.296748820429236,0.179159415760061,0.0395941801638124,0.0270002688170579,0.0697683694084652,0.03906492,0.0184461598278578,0.019869327749401,7652.0,7608,487.55201631973,343.548745242166,43C
4,1,0.19497557467709,0.179159415760061,0.0316244847184735,0.0270002688170579,0.0271105117115546,0.03906492,0.0210843541044058,0.019869327749401,7653,7608,466.749352886033,343.548745242166,43C
4,2,0.259737801197537,0.179159415760061,0.0408089546423775,0.0270002688170579,0.0770047848629532,0.03906492,0.0194541627492083,0.019869327749401,7654,7608,477.533438546206,343.548745242166,43C
4,3,0.342193281452542,0.179159415760061,0.0383076105554693,0.0270002688170579,0.034965144102605,0.03906492,0.0184317473047921,0.019869327749401,7650.0,7608,474.676410645631,343.548745242166,43C
5,1,0.275948974717892,0.179159415760061,0.035795569595548,0.0270002688170579,0.0664226905902432,0.03906492,0.0206899414638299,0.019869327749401,7658,7608,488.305818992622,343.548745242166,43C
5,2,0.431253399582893,0.179159415760061,0.0431891937733129,0.0270002688170579,0.074152807616301,0.03906492,0.0194751789831734,0.019869327749401,7654,7608,498.617226866462,343.548745242166,43C
